id,start,start_lat,start_long,dest,dest_lat,dest_long,dest_time
0,Raleigh,35.77935326730306,-78.70735267629638,Durham,35.96782277771366,-78.92774764654646,9:00
1,Raleigh,35.753818762088954,-78.67536158474634,Durham,35.96676093737539,-78.91116549766369,9:00
2,Raleigh,35.74248809892365,-78.73584988406006,Durham,36.028287453813505,-78.96106599137505,9:00
3,Raleigh,35.750621640333726,-78.78000689339996,Durham,35.97447709816396,-78.87019132209093,9:00
4,Raleigh,35.86610791733153,-78.65871795397568,Durham,36.057212139653174,-78.97823539948706,9:00
5,Raleigh,35.88649604937224,-78.76224967092087,Durham,36.01647687252079,-78.98583274474606,9:00
6,Raleigh,35.82936445835298,-78.60269350741677,Durham,35.98742737793231,-78.9715149409404,9:00
7,Raleigh,35.819477446730986,-78.72840449238524,Durham,36.060428711410076,-78.96599878864775,9:00
8,Raleigh,35.90722536123414,-78.69846450767209,Durham,35.96894141666778,-78.87688069693164,9:00
9,Raleigh,35.888520245015464,-78.63674974727762,Durham,35.98159600486327,-78.86553993090591,9:00
10,Raleigh,35.846438990569396,-78.65397149902068,Durham,35.9676284473257,-78.84129010507077,9:00
11,Raleigh,35.77083464195868,-78.5852309771901,Durham,36.00529752304816,-78.95960436765523,9:00
12,Raleigh,35.8419691966547,-78.62324962560577,Durham,35.96707753696472,-79.01203100617397,9:00
13,Raleigh,35.732534238295194,-78.6194422292306,Durham,35.98069702509577,-78.96176241671223,9:00
14,Raleigh,35.78619380599236,-78.61739507280612,Durham,35.997715221529845,-78.89576531678131,9:00
15,Raleigh,35.857835460854076,-78.65368530974865,Durham,36.057362657812725,-78.99365256194709,9:00
16,Raleigh,35.83146228332672,-78.71164959963048,Durham,35.98870296318449,-78.89822982190522,9:00
17,Raleigh,35.76027653553427,-78.75165757236657,Durham,36.02678398307321,-78.9051127049664,9:00
18,Raleigh,35.7326231399071,-78.76083032593753,Durham,36.00483467277884,-78.9406510399562,9:00
19,Raleigh,35.89434725589965,-78.72394876548987,Durham,36.029743038533304,-78.90273500997259,9:00
20,Raleigh,35.821749735504895,-78.75998130151115,Durham,36.02626698663091,-78.94822127679141,9:00
21,Raleigh,35.73563821063193,-78.64064196340952,Durham,35.99954639752539,-78.86100365401549,9:00
22,Raleigh,35.907647224385165,-78.618107403014,Durham,36.02468428653229,-78.91469141684556,9:00
23,Raleigh,35.77291030632663,-78.6362660430107,Durham,36.039967863703,-78.95254664263341,9:00
24,Raleigh,35.831459187164974,-78.72679060414279,Durham,35.99265270045342,-78.8949889550567,9:00
25,Raleigh,35.866498694688346,-78.70117318557004,Durham,36.01317228685365,-78.90447787827975,9:00
26,Raleigh,35.760770179433,-78.5895119094885,Durham,36.054978101858346,-78.98579992094936,9:00
27,Raleigh,35.8631810560516,-78.66169586189807,Durham,36.06626055856993,-78.86718983749378,9:00
28,Raleigh,35.750952801816794,-78.60079754579202,Durham,36.06539126730179,-78.83476879321134,9:00
29,Raleigh,35.75491487613804,-78.58914246053018,Durham,36.001408162514096,-78.83560267321407,9:00
30,Raleigh,35.889514714759684,-78.6063455149537,Durham,36.0433590224767,-78.87621421266893,9:00
31,Raleigh,35.85153308359132,-78.64582787049225,Durham,36.05074308477404,-78.95955991376891,9:00
32,Raleigh,35.864256116056275,-78.60758227949127,Durham,35.9779255876089,-78.94865186962748,9:00
33,Raleigh,35.81751718887001,-78.64990853101405,Durham,36.006556526971636,-78.99538521329575,9:00
34,Raleigh,35.84535815752397,-78.65438272163674,Durham,36.033414532176636,-78.86748286238124,9:00
35,Raleigh,35.819166909166746,-78.59126572934827,Durham,36.03761324486756,-78.92503441949569,9:00
36,Raleigh,35.81258211125589,-78.71226952252675,Durham,36.060076308165016,-78.92452310347122,9:00
37,Raleigh,35.83311694782691,-78.63907881028308,Durham,35.99874352638406,-78.96753607902181,9:00
38,Raleigh,35.8938178929373,-78.64892198631549,Durham,36.01347467988353,-78.88209592677123,9:00
39,Raleigh,35.80924119685238,-78.65596937878922,Durham,35.966821567236344,-78.84268262767776,9:00
40,Raleigh,35.904372357557,-78.67373426503703,Durham,36.009685000699086,-78.83546176962128,9:00
41,Raleigh,35.78983675702858,-78.76887088354438,Durham,36.018434943509035,-78.83546001063205,9:00
42,Raleigh,35.88459987447435,-78.6602090723828,Durham,35.98546621761228,-78.98460178359683,9:00
43,Raleigh,35.82344403481297,-78.60454592848102,Durham,35.995226533646346,-78.94471499947088,9:00
44,Raleigh,35.818499719159725,-78.61737502877405,Durham,36.0188730557669,-78.92717445120914,9:00
45,Raleigh,35.833422903251254,-78.67026220375905,Durham,36.03998440225167,-78.96972411858475,9:00
46,Raleigh,35.802244105406714,-78.62736924293563,Durham,36.04042160828044,-78.87232846431108,9:00
47,Raleigh,35.88745915285849,-78.7746481773275,Durham,36.016821411477096,-78.92794321920515,9:00
48,Raleigh,35.77182511570088,-78.74810178063322,Durham,36.006824883672394,-78.88064088942322,9:00
49,Raleigh,35.7705901662798,-78.65208154511106,Durham,36.06318844418849,-78.9549043630641,9:00
50,Raleigh,35.76026317168625,-78.75395011534565,Durham,36.008129073666616,-78.89990992693401,9:00
51,Raleigh,35.753263746779496,-78.61879338767415,Durham,35.9873777172751,-78.89237327929729,9:00
52,Raleigh,35.83316835160828,-78.74129730982911,Durham,36.06891937346931,-78.91027823365367,9:00
53,Raleigh,35.772356714238725,-78.64405068661485,Durham,36.05428598134786,-78.99502626503599,9:00
54,Raleigh,35.89899671987288,-78.73729515656235,Durham,36.0446742647281,-78.87306566841431,9:00
55,Raleigh,35.9005810774847,-78.68639671330777,Durham,36.05112767503615,-78.92630537891449,9:00
56,Raleigh,35.84946825267568,-78.60111591051808,Durham,36.04501811523887,-78.86129551376453,9:00
57,Raleigh,35.74471781342921,-78.63273525581216,Durham,35.994063560307524,-78.89462009540367,9:00
58,Raleigh,35.83109041863421,-78.73495379695925,Durham,35.97380365659658,-78.89387501171595,9:00
59,Raleigh,35.80216972976845,-78.75100049531409,Durham,36.02873376316375,-78.90949081004568,9:00
60,Raleigh,35.78452724200341,-78.75941184346594,Durham,36.040524994076065,-78.95271368847355,9:00
61,Raleigh,35.870974230007306,-78.64611818885241,Durham,35.965233553208975,-78.91143773918151,9:00
62,Raleigh,35.885597983584326,-78.5879154413249,Durham,35.99679352485546,-78.88598852536911,9:00
63,Raleigh,35.76594763057157,-78.68215474278726,Durham,36.02745073971105,-78.97000756295313,9:00
64,Raleigh,35.81313633030561,-78.7058091476984,Durham,36.029680631196165,-78.87381116898389,9:00
65,Raleigh,35.87494212003572,-78.73459136964074,Durham,36.024355315493956,-78.83892959135343,9:00
